ontology,mode,backend,wall_hot_median_s,peak_rss_bytes,bytes,component_count,status,error
koala,read,horned-omn,0.002589167,4526080,8952,83,ok,
koala,read,fastobo-omn,0.002947968,4378624,8952,82,ok,
koala,read,owlapi,1.5412694029510021,0,,,ok,
koala,read,omny,0.02179800719022751,42291200,8952,,ok,
koala,read,horned-ofn,0.000639162,4759552,5081,77,ok,
koala,read,horned-owx,0.000327791,3862528,10866,77,ok,
koala,read,horned-rdf,0.000888072,4349952,8848,72,ok,
koala,write,horned-omn,0.0001165,4509696,8952,83,ok,
koala,write,omny,0.02627457305788994,48783360,,,ok,
koala,write,horned-ofn,0.00011255,4554752,5081,77,ok,
koala,write,horned-owx,0.000175831,3956736,10866,77,ok,
pizza,read,horned-omn,0.000485091,4472832,897,32,ok,
pizza,read,fastobo-omn,0.000507011,4362240,897,31,ok,
pizza,read,owlapi,1.5269712023437023,0,,,ok,
pizza,read,omny,0.008375044912099838,41955328,897,,ok,
pizza,read,horned-ofn,0.000534842,4685824,4785,52,ok,
pizza,read,horned-owx,0.00020975,1220608,8641,52,ok,
pizza,write,horned-omn,4.0871e-05,4321280,897,32,ok,
pizza,write,omny,0.01100589707493782,47521792,,,ok,
pizza,write,horned-ofn,2.179e-05,3776512,4785,52,ok,
pizza,write,horned-owx,6.1651e-05,4288512,8641,52,ok,
travel,read,horned-omn,0.004423752,5017600,15634,167,ok,
travel,read,fastobo-omn,0.004920354,4722688,15634,180,ok,
travel,read,owlapi,1.547954298555851,0,,,ok,
travel,read,omny,0.036199524998664856,42889216,15634,,ok,
travel,read,horned-ofn,0.001360564,5025792,10976,162,ok,
travel,read,horned-owx,0.000577592,3948544,22098,162,ok,
travel,read,horned-rdf,0.001695095,4587520,17169,162,ok,
travel,write,horned-omn,0.00014338,4517888,15634,167,ok,
travel,write,omny,0.04866641387343407,49897472,,,ok,
travel,write,horned-ofn,8.5101e-05,4841472,10976,162,ok,
travel,write,horned-owx,0.00022745,3903488,22098,162,ok,
obi-core,read,horned-omn,0.80174294,114655232,4313191,54232,ok,
obi-core,read,fastobo-omn,0.848525588,117575680,4313191,54237,ok,
obi-core,read,owlapi,3.209412407130003,0,,,ok,
obi-core,read,omny,10.996860817074776,412303360,4313191,,ok,
obi-core,read,horned-ofn,0.623075771,151859200,5708651,54209,ok,
obi-core,read,horned-owx,0.186285028,46682112,13922128,54209,ok,
obi-core,read,horned-rdf,0.430835066,91238400,9925991,54209,ok,
obi-core,write,horned-omn,0.713390588,105459712,4313191,54232,ok,
obi-core,write,omny,15.005385376513004,621318144,,,ok,
obi-core,write,horned-ofn,0.041732243,142659584,5708651,54209,ok,
obi-core,write,horned-owx,0.072650088,53112832,13922128,54209,ok,
sio,read,horned-omn,,,,,fail,"CalledProcessError: Command '['/data/dumontier/pymos/bench/horned-bench/target/release/horned-bench', '--format', 'omn', '--mode', 'parse', '--hot', '5', '--warmup', '1', 'bench/data/sio.omn']' returned non-zero exit status 101."
sio,read,fastobo-omn,0.112903788,26951680,756132,12119,ok,
sio,read,owlapi,2.110748451203108,0,,,ok,
sio,read,horned-rdf,0.063586484,21299200,1478858,11936,ok,
hp,read,horned-omn,,,,,fail,"CalledProcessError: Command '['/data/dumontier/pymos/bench/horned-bench/target/release/horned-bench', '--format', 'omn', '--mode', 'parse', '--hot', '5', '--warmup', '1', 'bench/data/hp.omn']' returned non-zero exit status 101."
hp,read,fastobo-omn,,,,,fail,"CalledProcessError: Command '['/data/dumontier/pymos/bench/horned-bench/target/release/horned-bench', '--format', 'fastobo-omn', '--mode', 'parse', '--hot', '5', '--warmup', '1', 'bench/data/hp.omn']' returned non-zero exit status 101."
hp,read,owlapi,10.221235625445843,0,,,ok,
hp,read,horned-rdf,5.00094813,678879232,76165285,346429,ok,
